Course Number,Course Name
ACC-2301,Accounting in Organizations and Society
ACC-2361,Introduction to Financial Accounting
ACC-3305,Financial Accounting and Reporting
ANLY-2333,Business Statistics
ART-2313,Introduction to Fine Arts
B A-1310,Introduction to Business
BIO-1131,Organismal Biology Laboratory
BIO-1330,Functional Biology
BIO-1331,Organismal Biology
BIO-2411,Intermediate Zoology
BLAW-3301,Legal Environment of Business
CHEM-1135,Engineering Chemistry Laboratory
CHEM-1141,General Chemistry Laboratory I
CHEM-1335,Engineering Chemistry
CHEM-1341,General Chemistry I
CHEM-2141,Organic Chemistry Laboratory I
CHEM-2341,Organic Chemistry I
CHEM-2342,Organic Chemistry II
CHEM-3245,Physical Chemistry Laboratory
CHEM-4375,Biochemistry
CJ-3347,Statistics For Criminal Justice
CS-1342,Programming for Scientists and Engineers
CS-1428,Foundations of Computer Science I
CS-2308,Foundations of Computer Science II
CS-2315,Computer Ethics
CS-2318,Assembly Language
CS-3339,Computer Architecture
CS-3354,Object-Oriented Design and Programming
CS-3358,Data Structures and Algorithms
CS-3360,Computing Systems Fundamentals
CS-4315,Introduction to Data Mining and Information Retrieval
CS-4318,Compiler Construction
CS-4371,Computer System Security
CS-4395,Independent Study in Computer Science
CS-7323,Image Processing and Computer Vision
CSM-2313,Architecture Design I - Construction Documents
CTE-3313P,Project Management
CTE-5315,Leadership and Professional Development
CTE-5360,Organization Development in the Workplace
ECO-2314,Principles of Microeconomics
ECO-3311,Money and Banking
ECO-3335,Managerial Economics
EE-3355,Solid State Devices
EE-3400,Circuits II
EE-4350,Electronics II
ENG-1310,College Writing I
ENG-1320,1320. College Writing II
ENGR-1304,Engineering Graphics
ENGR-2300,Materials Engineering
ENGR-2301,Statics
ENGR-3315,Engineering Economic Analysis
ENGR-3373,Circuits and Devices
ESS-3317,Exercise Physiology
FIN-3312,Business Finance
GEO-3303,Economic Geography
HIST-4364,Military History of the United States
HP-3325,Healthcare Statistics
IE-1310,Introduction to Industrial Engineering
IE-3320,Engineering Statistics
ISAN-3305,Business Programming I
ISAN-3317,E-Business
JAPA-1420,Beginning Japanese II
MATH-1300,Elementary Algebra
MATH-1311,Intermediate Algebra
MATH-1312,College Statistics and Algebra
MATH-1315,College Algebra
MATH-1316,Survey of Contemporary Mathematics
MATH-1319,Mathematics for Business and Economics I
MATH-1329,Mathematics for Business and Economics II
MATH-2311,Principles of Mathematics I
MATH-2312,Informal Geometry
MATH-2321,Calculus for Life Sciences I
MATH-2328,Elementary Statistics
MATH-2331,Calculus for Life Science II
MATH-2358,Discrete Mathematics I
MATH-2393,Calculus III
MATH-2417,Pre-Calculus Mathematics
MATH-2471,Calculus I
MATH-2472,Calculus II
MATH-2473,Integral Calculus with Multivariables and Series
MATH-3305,Introduction to Probability and Statistics
MATH-3323,Differential Equations
MATH-3325,Number Systems
MATH-3330,Introduction to Advanced Mathematics
MATH-3376,Applied Linear Algebra
MATH-3377,Linear Algebra
MATH-3380,Analysis I
MATH-3383,Numerical Analysis I
MATH-3398,Discrete Mathematics II
MATH-4304,Capstone Mathematics for Secondary Teachers (of Mathematics)
MATH-4306,Fourier Series and Boundary Value Problems
MATH-4307,Modern Algebra
MATH-4315,Analysis II
MATH-4336,Studies in Applied Mathematics
MATH-4350,Introduction to Combinatorics
MC-3313,Foundations of Public Relations Writing
ME-1201,Introduction to Digital Mechanical Engineering
ME-3330,Engineering Thermodynamics
MGT-3303,Management of Organizations
MS-1212,Basic Leadership
PA-3311,Analytical Techniques
PHIL-1320,Ethics and Society
PHYS-1115,General Physics I Laboratory
PHYS-1315,General Physics I
PHYS-1340,Astronomy: Solar System
PHYS-2125,Mechanics Laboratory
PHYS-2325,Mechanics
PHYS-2326,Electricity and Magnetism
POSI-2310,Principles of American Government
POSI-2320,Functions of American Government
PSY-1300,Introduction to Psychology
PSY-2101,Introduction to Statistics Laboratory
PSY-2301,Introduction to Statistics
PSY-3315,Psychopathology
SOCI-1310,Introduction to Sociology
SOCI-3307,Statistics for the Behavioral Sciences
SOWK-3340,Social Work Research
US-1100,University Seminar
